indekx,index,orig_image,ours,bpg,hific,dataset,bpp,orig_url,ours_url,bpg_url,hific_url
0,0,CelebA_Original_10039.png,CelebA_Ours_Baseline_bpp-0.15_10039.png,CelebA_BPG_reconstructions_q37_10039.png,CelebA_HiFiC_Low-0.15bpp_10039_RECON_0.221bpp.png,CelebA,low,https://drive.google.com/uc?id=1DgIlQJNonZxHRnXAcOQ1mZ3hE6q3btZT,https://drive.google.com/uc?id=1OQngBH0CbuHyo6iB3m7UvoKUMvjgkzAm,https://drive.google.com/uc?id=1K01lyXgEGsfd5TjpFr4g-Z3d_MccHlUm,https://drive.google.com/uc?id=1yZbvhnCeDESlOu0BfiG_QDawYIOGDvBB
1,1,CelebA_Original_10165.png,CelebA_Ours_Baseline_bpp-0.15_10165.png,CelebA_BPG_reconstructions_q37_10165.png,CelebA_HiFiC_Low-0.15bpp_10165_RECON_0.194bpp.png,CelebA,low,https://drive.google.com/uc?id=12LrI6Os82LOjgQw95LPO3u6eja32W9yU,https://drive.google.com/uc?id=1OKJgdY8bwetjc8490gnzf3BeI1kEF6sI,https://drive.google.com/uc?id=1LlG6408WHNFLotQyUXzpkcjDp0fQhUo7,https://drive.google.com/uc?id=17Ei4WuINWpoMjrxnCjG5IpOagoBKUJJV
2,2,CelebA_Original_10196.png,CelebA_Ours_Baseline_bpp-0.15_10196.png,CelebA_BPG_reconstructions_q37_10196.png,CelebA_HiFiC_Low-0.15bpp_10196_RECON_0.184bpp.png,CelebA,low,https://drive.google.com/uc?id=15mvegglKqagNDZqn2mu-Lz3QZe180FOm,https://drive.google.com/uc?id=1i9Jk4da0nGMRIHn9qw1XjvZN1HiwuM6M,https://drive.google.com/uc?id=1K2WBGOn0Pyq4y3n9iXblQAllzfbrWzSF,https://drive.google.com/uc?id=1irY8bEvpg2WGlIuSqAitWhTMr5rZjZ1n
3,3,CelebA_Original_10107.png,CelebA_Ours_Baseline_bpp-0.15_10107.png,CelebA_BPG_reconstructions_q37_10107.png,CelebA_HiFiC_Low-0.15bpp_10107_RECON_0.207bpp.png,CelebA,low,https://drive.google.com/uc?id=1TWS0pLuHAuyigiIZdBDauvyxcfjIwib-,https://drive.google.com/uc?id=1UvCDFM0LRkl3YjM1CAKt9p5mkmLY2jrt,https://drive.google.com/uc?id=1l5THEXn2gr2fdBRwzSgoD0HR8sWgkQIX,https://drive.google.com/uc?id=1KhOpBm7xagJdAkjvncgRPRCi-VeCHZEi
4,4,CelebA_Original_10008.png,CelebA_Ours_Baseline_bpp-0.15_10008.png,CelebA_BPG_reconstructions_q37_10008.png,CelebA_HiFiC_Low-0.15bpp_10008_RECON_0.195bpp.png,CelebA,low,https://drive.google.com/uc?id=12clHMUX8OCAAOXB3FQtswA6C-1n-f1Pi,https://drive.google.com/uc?id=1EZ7QHxazgKril-k6hl0r7K_6uCEL41NY,https://drive.google.com/uc?id=1E_VXtiTAgh0Q2d7yzHFWZVS8Uhnw9ilj,https://drive.google.com/uc?id=15yBfZFEvEJIn9RHSe2cVkfwv5yGh_4nR
5,5,CelebA_Original_10035.png,CelebA_Ours_Baseline_bpp-0.15_10035.png,CelebA_BPG_reconstructions_q37_10035.png,CelebA_HiFiC_Low-0.15bpp_10035_RECON_0.182bpp.png,CelebA,low,https://drive.google.com/uc?id=1_YrHmtJyqszAy2LZPVeNfrHFkAEQ4X3V,https://drive.google.com/uc?id=1rNgfJH6kMNbdr-vD23i2gDCY3as_uVEC,https://drive.google.com/uc?id=1vlYtBZkdUemJ6E8b6Sl3ZbUNmRVBiEkn,https://drive.google.com/uc?id=1U0Qlz_d9nbe2Uu5ppsZnvYiyvLIl5Zt0
6,6,CelebA_Original_10116.png,CelebA_Ours_Baseline_bpp-0.15_10116.png,CelebA_BPG_reconstructions_q37_10116.png,CelebA_HiFiC_Low-0.15bpp_10116_RECON_0.188bpp.png,CelebA,low,https://drive.google.com/uc?id=1nAIrGZK3Dav2x73TU3Mr84iO9lPXEuKP,https://drive.google.com/uc?id=1iSIe_rvZhxJrzBb8fywbKELvUQBSesWz,https://drive.google.com/uc?id=1oCWtiwoo07JnygPbocG2t8OwWJOWXnXr,https://drive.google.com/uc?id=1X_jNhgBWGGsUJ3s5r3d_Yoh6g7lzSRyH
7,7,CelebA_Original_10176.png,CelebA_Ours_Baseline_bpp-0.15_10176.png,CelebA_BPG_reconstructions_q37_10176.png,CelebA_HiFiC_Low-0.15bpp_10176_RECON_0.217bpp.png,CelebA,low,https://drive.google.com/uc?id=1D7Z5LhZiz4XyT5Ivbzj5Vu-ng4ODsDoe,https://drive.google.com/uc?id=19qeb_xDX6mF18cN58IVAAAxdkh5VyHlc,https://drive.google.com/uc?id=13Gs534evlVp-n3K54OD7BeDc4WNDBGdu,https://drive.google.com/uc?id=1ZMqI-V_GppYF780CGj8yJHf3IBUZoapn
8,8,CelebA_Original_10024.png,CelebA_Ours_Baseline_bpp-0.15_10024.png,CelebA_BPG_reconstructions_q37_10024.png,CelebA_HiFiC_Low-0.15bpp_10024_RECON_0.225bpp.png,CelebA,low,https://drive.google.com/uc?id=1F67cGF3E_gOpUO-Rw8-8Gw9IEwIuKOx8,https://drive.google.com/uc?id=1xfoNAkPyYHifI3m7G6_DQSAVOZImWM3y,https://drive.google.com/uc?id=1oWY4d-C9MUbPx_phEnAV4Zjq3LSI8_a5,https://drive.google.com/uc?id=1SPNmz3OqB3YzFeVkjKYlLvABTlg7WUH_
9,9,CelebA_Original_10190.png,CelebA_Ours_Baseline_bpp-0.15_10190.png,CelebA_BPG_reconstructions_q37_10190.png,CelebA_HiFiC_Low-0.15bpp_10190_RECON_0.179bpp.png,CelebA,low,https://drive.google.com/uc?id=12kiYySEjoQwyFrvuBI0bholmHg_cpCKg,https://drive.google.com/uc?id=1DqUAbF7gXZZTT7VKO51k5_tUxjqNiszp,https://drive.google.com/uc?id=1bujnBlhIoqjfiMB8_nnJDGjwRV9-N3kQ,https://drive.google.com/uc?id=1bUXHFtuC78ij0C0pZjSODQ5mMx8FlBwC
