indekx,index,orig_image,ours,hific,dataset,bpp,per,class,orig_url,ours_url,hific_url
0,3,CelebA_Original_678.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_678_2.png,CelebA_HiFiC_Low-0.15bpp_678_RECON_0.206bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=1OuUgbiLAvqpBRyoYrDgqZACwQ2EQUt-2,https://drive.google.com/uc?id=1_FHY8Cav0NluM7XXbzY2y2jUhujyt4GB,https://drive.google.com/uc?id=1HwKdhyqMrmmVUrrmSSMwgo8Z43JXZpDs
1,4,CelebA_Original_458.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_458_2.png,CelebA_HiFiC_Low-0.15bpp_458_RECON_0.201bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=1xfkuARV0qoSyOXVE2GNZbS-KZKB8cUJD,https://drive.google.com/uc?id=1u3N2fzw-VY9YjRISQ_hg-EHaTIWa3dtf,https://drive.google.com/uc?id=1Om2JlebsNAACfgwYbQza-TgKuJA2jd3f
2,5,CelebA_Original_584.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_584_2.png,CelebA_HiFiC_Low-0.15bpp_584_RECON_0.171bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=1BwLx812QYaMOP6gKqnhMNSyrRAHvECZH,https://drive.google.com/uc?id=1Gezhlsotdtmlx3wRoyyJFU8FoWpJYKf9,https://drive.google.com/uc?id=1FKSlGbQnHtEBBiFcoSfxtBYuaraE4RRO
3,8,CelebA_Original_726.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_726_2.png,CelebA_HiFiC_Low-0.15bpp_726_RECON_0.175bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=16G7eYXm4wGcu2eA1szPTNqTovuJeN34I,https://drive.google.com/uc?id=1Dl8YMZpGwKW7sVPBYd_AUcmq2EClJ2qA,https://drive.google.com/uc?id=1MzalIm16CSypgNJd8R5W_Q3IMa4UbHZN
4,9,CelebA_Original_564.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_564_2.png,CelebA_HiFiC_Low-0.15bpp_564_RECON_0.178bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=1DNjP8z5zMfbQGAWxClOJsstfpVt3z2XH,https://drive.google.com/uc?id=1Uy8Lq-eJ3q7qC4BDQwB7qFAF2J7MfHBS,https://drive.google.com/uc?id=1wtcEYia-G_EFybNKpSUr50gaDUnvQTVU
5,12,CelebA_Original_524.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_524_2.png,CelebA_HiFiC_Low-0.15bpp_524_RECON_0.186bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=16w9D_edA_eIqDUobIWlBaJ6g2Vct28FD,https://drive.google.com/uc?id=1Ie9hhVv8tMe7ztNPmTN1y8KfEMNF01wa,https://drive.google.com/uc?id=1OLzegDUvEKCZbkVGTrcYoAPqvb4Zw4C9
6,13,CelebA_Original_542.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_542_2.png,CelebA_HiFiC_Low-0.15bpp_542_RECON_0.196bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=13PY1U4iISidquFCP19dJruVAtsQ6UeTR,https://drive.google.com/uc?id=1qbaftlsY4OptmAxZ5krIbXJG3KZWnZZc,https://drive.google.com/uc?id=1-0NReLiexN3Pzt6U4Cq-GDaKgvhpTiqq
7,17,CelebA_Original_632.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_632_2.png,CelebA_HiFiC_Low-0.15bpp_632_RECON_0.201bpp.png,CelebA,low,equal,face,https://drive.google.com/uc?id=1P8xwBjDOHGGQFZjdra1Belt3TTuNDSf2,https://drive.google.com/uc?id=1qSYFwZNaaBalzJHqvdyfBDsRKatYSuWe,https://drive.google.com/uc?id=1-x8y7L1fnfnCRdMaoHQOxIdg9ikMrBQa
8,3,CelebA_Original_678.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_678_4.png,CelebA_HiFiC_Low-0.15bpp_678_RECON_0.206bpp.png,CelebA,low,high,face,https://drive.google.com/uc?id=1OuUgbiLAvqpBRyoYrDgqZACwQ2EQUt-2,https://drive.google.com/uc?id=17wCSaUvMiwjIQyfeyTxmsBMQNG19aZCy,https://drive.google.com/uc?id=1HwKdhyqMrmmVUrrmSSMwgo8Z43JXZpDs
9,4,CelebA_Original_458.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_458_4.png,CelebA_HiFiC_Low-0.15bpp_458_RECON_0.201bpp.png,CelebA,low,high,face,https://drive.google.com/uc?id=1xfkuARV0qoSyOXVE2GNZbS-KZKB8cUJD,https://drive.google.com/uc?id=1kht9C9blYlhz_nHqVAXap_eS1MNOf0xo,https://drive.google.com/uc?id=1Om2JlebsNAACfgwYbQza-TgKuJA2jd3f
