indekx,index,orig_image,equal,low,high,dataset,bpp,class,orig_url,equal_url,low_url,high_url
0,3,CelebA_Original_678.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_678_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_678_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_678_4.png,CelebA,low,face,https://drive.google.com/uc?id=1OuUgbiLAvqpBRyoYrDgqZACwQ2EQUt-2,https://drive.google.com/uc?id=1_FHY8Cav0NluM7XXbzY2y2jUhujyt4GB,https://drive.google.com/uc?id=1Lmub1VVucjw39f92LyVpG3I07OolsfWn,https://drive.google.com/uc?id=17wCSaUvMiwjIQyfeyTxmsBMQNG19aZCy
1,4,CelebA_Original_458.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_458_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_458_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_458_4.png,CelebA,low,face,https://drive.google.com/uc?id=1xfkuARV0qoSyOXVE2GNZbS-KZKB8cUJD,https://drive.google.com/uc?id=1u3N2fzw-VY9YjRISQ_hg-EHaTIWa3dtf,https://drive.google.com/uc?id=1fvplJYT0UJcnSMr_8vjDwZ44JiY7ggUt,https://drive.google.com/uc?id=1kht9C9blYlhz_nHqVAXap_eS1MNOf0xo
2,5,CelebA_Original_584.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_584_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_584_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_584_4.png,CelebA,low,face,https://drive.google.com/uc?id=1BwLx812QYaMOP6gKqnhMNSyrRAHvECZH,https://drive.google.com/uc?id=1Gezhlsotdtmlx3wRoyyJFU8FoWpJYKf9,https://drive.google.com/uc?id=1_MH3GLhAa4KlLDuCmlTTCro9S1beKfMq,https://drive.google.com/uc?id=1_8aK0TK4O56m0RiIm8YECnRs3Dgg1L8f
3,8,CelebA_Original_726.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_726_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_726_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_726_4.png,CelebA,low,face,https://drive.google.com/uc?id=16G7eYXm4wGcu2eA1szPTNqTovuJeN34I,https://drive.google.com/uc?id=1Dl8YMZpGwKW7sVPBYd_AUcmq2EClJ2qA,https://drive.google.com/uc?id=1lZWxTxxDCZcVFZY7npNuFwpoNw9XYosr,https://drive.google.com/uc?id=1OFzoxMVpEq9IdReCwK4wOIZ0WFYL0f2W
4,9,CelebA_Original_564.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_564_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_564_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_564_4.png,CelebA,low,face,https://drive.google.com/uc?id=1DNjP8z5zMfbQGAWxClOJsstfpVt3z2XH,https://drive.google.com/uc?id=1Uy8Lq-eJ3q7qC4BDQwB7qFAF2J7MfHBS,https://drive.google.com/uc?id=1eZhT2NbhmaYHviRg094sFHt5Qi5l0TMU,https://drive.google.com/uc?id=11y4F9k9G67PkHwhmDYlXqBBZuhk8ye_n
5,12,CelebA_Original_524.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_524_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_524_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_524_4.png,CelebA,low,face,https://drive.google.com/uc?id=16w9D_edA_eIqDUobIWlBaJ6g2Vct28FD,https://drive.google.com/uc?id=1Ie9hhVv8tMe7ztNPmTN1y8KfEMNF01wa,https://drive.google.com/uc?id=1OoczBfQ-ghJHRwHvgNnWCtGiec6ntvdw,https://drive.google.com/uc?id=1a5qVtwXjtqaNRSAsrMTIDg9pQfffwi7_
6,13,CelebA_Original_542.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_542_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_542_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_542_4.png,CelebA,low,face,https://drive.google.com/uc?id=13PY1U4iISidquFCP19dJruVAtsQ6UeTR,https://drive.google.com/uc?id=1qbaftlsY4OptmAxZ5krIbXJG3KZWnZZc,https://drive.google.com/uc?id=1vo0QMLhTvcUocB1WPfLVtQPRQidN3p8s,https://drive.google.com/uc?id=1y4CjuYOIOaS0wUyWOg44XiJxfh0nZWP_
7,17,CelebA_Original_632.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_632_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_632_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_632_4.png,CelebA,low,face,https://drive.google.com/uc?id=1P8xwBjDOHGGQFZjdra1Belt3TTuNDSf2,https://drive.google.com/uc?id=1qSYFwZNaaBalzJHqvdyfBDsRKatYSuWe,https://drive.google.com/uc?id=1SLznwbazqBI4JNJ0NrLjzeXxgK9Rx9F_,https://drive.google.com/uc?id=1YuuR6N8w0i6cal_jitL8znIfihC38JyZ
8,19,CelebA_Original_563.png,CelebA_Ours_Varying_Imp_bpp-0.2_all_equal_563_2.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_low_563_0.png,CelebA_Ours_Varying_Imp_bpp-0.2_face_high_563_4.png,CelebA,low,face,https://drive.google.com/uc?id=1PRLxbHQP6S8pthmGiZdw9wL14Cb1Qhri,https://drive.google.com/uc?id=1Wz8Cgu_eFn6nj2fMnr-YECSC9JQPWu_a,https://drive.google.com/uc?id=1UJLAWe-fJDCQ4unJV8uNB-9HbiIKCkLZ,https://drive.google.com/uc?id=1CEeguS1Vmoi7GSumadvhOdnpOG8Zd62n
9,0,CelebA_Original_256.png,CelebA_Ours_Varying_Imp_bpp-0.3_all_equal_256_2.png,CelebA_Ours_Varying_Imp_bpp-0.3_face_low_256_0.png,CelebA_Ours_Varying_Imp_bpp-0.3_face_high_256_4.png,CelebA,med,face,https://drive.google.com/uc?id=1cyD4DaAgL4lhTK11oYGk3R6wSxq6Ol1s,https://drive.google.com/uc?id=1aPCjDQipZhaW4ZE7qz9jZ32AmAQytGCG,https://drive.google.com/uc?id=105lrk0CnHW5wH2vPztc7em7LwdHX2llJ,https://drive.google.com/uc?id=1VGjKypTxBKAZ8r6Y3CccmAr0_EZe7LAO
